#Lon Lat Ve Vn Vu Se Sn Su Name
97.0969469748 17.4624112559 30.618807513055767 -7.050162658513662 0.0224103157327762 0.0247503308178452 0.0258470004361789 0.0876279580021638 SATG
95.7180605793 22.5723922364 30.968551303980952 11.08215797301657 -8.268366044275854 0.0942766276661971 0.0946077291148285 0.1336336008704147 SWBO
96.3222119491 17.396963957 31.26706284758237 5.763865431119471 0.2891948202455809 0.0189566694868853 0.0160202948831892 0.0565763584843531 IGLE
95.6165125847 20.4735368089 27.46160348230889 15.69711921549645 3.0395111015612675 0.1066405886961508 0.0551281883905616 0.1986650665937879 M007
89.531300453 22.8526381799 41.90903136787775 34.08301897959966 -4.371315491124588 0.019651071312535 0.0270096006420193 0.0703038191364265 KLNA
96.6671672704 17.4693657587 30.185635819410688 -5.23204551284503 2.300540383170701 0.0138639936265049 0.0166287747455926 0.0950508379796729 WAAW
96.0260778577 17.3687701023 29.899361154222 11.766485785455776 2.459924802282182 0.0518232262412981 0.0597847852156792 0.1932132256433682 GYB2
96.0260674644 17.3699145461 30.5491834000102 12.079911775953114 2.4795654727521166 0.0506258209263755 0.0491256480623469 0.1632609288890475 GYB3
95.9709722372 20.3844605586 26.28085015486779 10.5293177966068 8.307530841207779 0.0785641728785061 0.0629261580935302 0.404441403683738 M10W
96.7947278373 20.7259851653 28.102430670148117 -3.877221137857221 2.29004884016214 0.0571913478537321 0.0593895943100044 0.2526852075919446 HEHO
96.2165141989 20.4787178506 27.96695301151785 0.1334297624968001 3.9443531797800255 0.0631711552053289 0.0540501540668137 0.2759432505659623 M10E
96.1189614787 22.5864458588 26.7418148082604 2.013196906404635 -0.9562758065474668 0.0363441237599451 0.0424903686996634 0.1275406751090263 SDWN
93.6044675696 22.6344569037 27.574052544131664 22.708098985291024 0.1270415027063161 0.0188707481328643 0.0166626197181287 0.0505322771478542 HAK3
93.6045190398 22.6342542931 25.378469749777697 20.736898956226057 1.3151184275518142 0.145197518313731 0.1195291888019673 0.4611703520346877 HAK2
90.3878969999 23.804668603 41.20933058214672 33.446713800168084 -12.073911622147085 0.0271755754113401 0.0284710088880065 0.0708216054213223 DHA2
97.5469758923 20.9113372563 29.35168710982349 -5.262317311270773 3.154987219148523 0.0986608985427094 0.0708781155336792 0.2823069856969796 EW08
93.6044675696 22.6344569037 27.59813702148802 22.72851716221684 0.1171068664929568 0.0192049243004938 0.0171796246291822 0.051462087825015 HAKA
91.7265883965 24.3093003086 37.7233289523387 32.91662655127447 -3.544863543604768 0.0305608305202674 0.0205540233580892 0.0685142654077834 SRIM
96.0260674644 17.3699145461 32.20830303350784 13.004708226749283 2.3774763761106725 0.0782527308732861 0.0759761437823796 0.3043390325474372 GYBU
94.049820377 19.7898759316 33.199046111595464 25.576468389578302 3.294720201854421 0.0821243690519682 0.0653515219914658 0.4225151448660054 EW02
90.3988689204 24.409762445 41.69250341988956 33.16782042636073 -7.305931583753546 0.0199464265455656 0.0176649220609301 0.0712595756329244 VLKA
93.5224028548 19.4258212226 37.31023339632001 28.38824996762644 -2.74013208288423 0.1541507768197844 0.1727077020356575 0.413923093411967 EW03
94.8465096289 22.4340151012 28.15197800276033 17.4431459836615 1.9651979875133367 0.014722664475592 0.0136239839475751 0.0479287838428408 KANI
91.7800914391 22.3664887595 42.04823617734037 33.839638795179965 -8.238101606460672 0.0285145328390394 0.0170798638378657 0.0858793971395876 CHIT
90.340693703 25.1180426029 41.15838542558289 33.56940086066906 -11.019308709141669 0.0169398417839061 0.0186796132351978 0.0731472716164051 HGAT
91.8366027199 24.9254861553 40.27118538843408 30.064051773749004 -3.368108597886217 0.0255016053210477 0.015540857024431 0.060945526863152 SLET
95.0280952793 20.3326036688 30.36042442410388 16.246291799579716 0.9756984255316018 0.0886051317034293 0.0686817068283512 0.2537430327796239 EW05
94.5173842364 20.3427560152 30.88403541715924 19.867265415579148 5.057387025281214 0.070250564688711 0.0547704984411445 0.2498044122208982 EW04
94.4930320201 18.0109946394 37.40722543353135 21.989667630057426 5.401156069364586 1.7158887079234253 1.458148153981289 7.323106353886474 1415
95.8717779669 23.7990590173 24.58806219777471 13.434141742983808 -262.7725901565456 0.3777632473172821 0.3277415027867522 1.6509103146484223 INND
96.328250477 16.9223063542 33.59921052631207 4.053421052631063 -8.663947368421583 4.481985000302103 3.48129509126466 19.053949171598912 CP09
95.7161259514 21.6909644425 27.561947814629505 13.10675538676812 -0.25539306772506 0.1354831629527085 0.956564979517178 5.617351055719992 MYOT
95.7276558865 20.9939298208 28.37810369206067 12.583635996199718 -4.050989405613196 0.2157369261226821 1.4622348870842818 0.453901615927561 0010
95.482714213 21.2469173345 30.32150757503797 13.80025552383821 -11.201668865960018 0.6125568187820366 0.6036255938307304 0.9358354877123812 0009
96.2735605884 20.7536646397 29.08108756427887 -3.641402165044009 1.260821655673189 0.6594397915179424 0.6365999102728962 1.4768982745933104 0013
96.159534824 16.8388666473 37.77536296276855 6.370311830469217 0.6846308482948216 1.8032143281619144 4.026696736301249 6.789053566264996 SD02
97.0242854788 25.3587296197 25.057437834444155 -4.02163267393895 -73.61698594987428 0.4455321502430017 0.4029580988913112 2.14302177064823 NAMT
95.9806364818 21.9339884285 27.229019269000005 8.045134867108608 -5.308101830357707 0.1352195251476497 0.4611169242569694 2.9160692325402757 TNYO
96.4994535587 20.7187178723 26.388070435656207 -4.947107439527531 4.497105443142996 0.6345092970081295 0.6193287228576333 1.2592921878734749 0012
